ID,RF,NB,LR
523,0,1,1
524,1,0,0
525,0,1,0
526,0,0,0
527,1,0,0
528,0,1,0
529,0,0,0
530,0,0,0
531,1,1,1
532,0,0,0
533,1,1,0
534,1,1,1
535,0,0,0
536,0,1,1
537,0,0,1
538,0,0,0
539,1,1,1
540,1,1,1
541,0,1,1
542,1,0,0
543,1,1,0
544,0,0,0
545,0,0,0
546,0,0,0
547,0,0,0
548,1,0,0
549,0,0,0
550,0,0,0
551,0,0,1
552,1,1,1
553,1,1,1
554,1,1,0
555,0,0,0
556,1,0,0
557,0,0,0
558,0,1,1
559,1,1,1
560,0,1,0
561,0,0,0
562,1,1,1
563,1,1,0
564,0,1,1
565,0,0,0
566,1,1,1
567,1,1,0
568,0,0,0
569,0,0,0
570,0,0,0
571,0,0,0
572,1,1,1
573,0,0,0
574,0,0,0
575,0,0,0
576,0,0,0
577,0,0,0
578,0,0,0
579,0,0,0
580,1,1,1
581,0,0,1
582,1,1,1
583,1,0,1
584,1,1,1
585,0,0,0
586,0,1,1
587,0,0,0
588,0,0,0
589,1,1,1
590,1,0,0
591,0,1,1
592,0,0,0
593,0,1,0
594,0,1,1
595,1,0,0
596,0,1,1
597,0,0,0
598,1,1,1
599,1,1,1
600,1,1,0
601,1,1,1
602,0,0,0
603,0,1,1
604,1,1,1
605,0,0,0
606,1,1,1
607,0,1,1
608,0,0,0
609,0,0,0
610,0,0,0
611,0,0,0
612,1,1,0
613,1,0,0
614,0,0,0
615,0,1,0
616,0,1,1
617,0,0,0
618,1,1,1
619,0,0,0
620,0,0,0
621,0,0,0
622,1,1,0
623,1,1,1
624,0,0,0
625,0,0,1
626,0,1,1
627,0,0,0
628,0,0,0
629,1,1,1
630,0,0,0
631,1,0,1
632,0,0,0
633,1,1,1
634,1,1,1
635,0,0,0
636,1,1,1
637,0,1,1
638,0,0,0
639,0,0,0
640,1,1,1
641,1,1,1
642,1,0,0
643,0,1,1
644,0,0,0
645,0,0,0
646,0,0,0
647,1,1,1
648,0,0,0
649,0,0,0
650,0,1,0
651,1,1,0
652,0,1,1
653,1,0,0
654,1,1,1
655,0,0,0
656,0,0,0
657,0,0,0
658,0,0,1
659,0,0,0
660,0,0,0
661,0,0,0
662,0,1,0
663,0,0,0
664,1,1,1
665,1,1,1
666,1,0,0
667,0,1,0
668,1,1,1
669,1,1,1
670,1,1,1
671,1,1,1
672,0,0,0
673,1,1,1
674,1,0,0
675,1,1,1
676,0,1,1
677,0,0,0
678,0,0,0
679,0,0,0
680,0,0,0
681,1,1,1
682,0,0,0
683,1,1,1
684,1,1,1
685,1,1,1
686,0,0,0
687,1,0,1
688,0,0,0
689,0,0,0
690,0,0,0
691,1,1,0
692,0,0,0
693,1,1,1
694,1,1,1
695,1,0,0
696,1,0,0
697,0,0,0
698,0,0,0
699,0,0,0
700,1,1,1
701,1,1,1
702,0,0,1
703,1,1,1
704,0,0,0
705,0,0,0
706,0,0,1
707,1,0,1
708,1,1,1
709,1,0,0
710,0,0,0
711,1,0,1
712,0,0,0
713,0,0,0
714,1,1,1
715,1,1,1
716,1,1,0
717,1,1,1
718,1,1,1
719,1,1,0
720,0,0,0
721,1,1,1
722,1,0,0
723,0,1,1
724,0,0,0
725,1,0,0
726,0,0,0
727,0,0,0
728,1,1,1
729,1,0,0
730,0,1,1
731,0,0,0
732,1,1,1
733,0,0,0
734,0,0,0
735,1,1,1
736,0,0,0
737,0,0,0
738,1,1,0
739,0,0,0
740,1,1,1
741,1,1,1
742,0,0,0
743,1,1,1
744,0,1,1
745,1,1,1
746,0,0,0
747,0,1,1
748,0,0,0
749,1,1,1
750,1,1,1
751,1,1,1
752,0,0,0
753,0,1,0
754,1,1,1
755,1,0,0
756,0,0,0
757,1,0,0
758,0,0,0
759,1,1,1
760,1,1,1
761,1,1,1
762,1,1,1
763,1,1,1
764,1,1,1
765,1,0,1
766,0,1,0
767,0,0,0
768,1,0,0
769,0,1,0
770,0,0,0
771,0,1,1
772,0,0,0
773,0,1,1
774,1,0,0
775,1,1,1
776,0,1,1
777,0,1,1
778,0,0,0
779,0,0,0
780,0,0,0
781,0,0,0
782,0,0,1
783,0,1,1
784,1,0,0
785,1,1,1
786,0,0,0
787,1,0,0
788,0,0,0
789,0,0,0
790,1,0,0
791,1,1,1
792,0,0,0
793,0,0,0
794,1,1,1
795,0,0,0
796,1,1,1
797,1,1,1
798,0,0,0
799,0,0,0
800,0,0,0
801,0,0,0
802,0,1,1
803,1,1,1
804,0,1,0
805,0,0,0
806,0,0,0
807,1,1,1
808,0,0,0
809,0,0,0
810,1,1,1
811,0,1,1
812,0,1,1
813,0,0,1
814,1,1,1
815,1,0,0
816,1,1,0
817,0,0,0
818,0,0,0
819,1,1,0
820,0,0,0
821,0,0,0
822,0,0,0
823,0,0,0
824,0,0,0
825,1,1,1
826,1,1,1
827,0,0,0
828,0,0,0
829,0,0,1
830,0,0,0
831,0,0,0
832,0,1,1
833,0,0,0
834,1,1,1
835,1,1,1
836,0,1,0
837,0,0,0
838,1,1,1
839,1,0,1
840,0,0,0
841,0,0,0
842,1,0,1
843,1,1,1
844,0,0,0
845,0,1,1
846,1,1,0
847,0,0,0
848,1,1,1
849,1,1,1
850,0,1,1
851,0,0,0
852,0,0,0
853,1,1,1
854,0,0,0
855,1,0,0
856,1,0,0
857,1,1,1
858,0,0,0
859,1,0,0
860,1,1,1
861,0,0,0
862,1,0,0
863,0,1,0
864,0,1,0
865,1,0,0
866,0,0,0
867,0,0,0
868,1,0,0
869,1,1,1
870,0,1,1
871,0,0,0
872,0,0,0
873,1,1,1
874,1,1,1
875,0,1,1
876,0,0,0
877,1,1,1
878,0,0,0
879,1,1,1
880,1,1,0
881,1,0,0
882,0,0,0
883,0,0,0
884,0,0,0
885,1,1,1
886,1,0,1
887,0,0,0
888,0,1,0
889,0,0,0
890,0,0,0
891,1,0,0
892,0,0,0
893,0,0,0
894,1,1,1
895,1,1,1
896,0,0,0
897,1,1,0
898,0,0,0
899,0,0,1
900,0,0,0
901,0,0,0
902,0,0,0
903,1,1,1
904,0,0,0
905,0,1,1
906,1,0,0
907,0,0,0
908,0,1,1
909,1,1,0
910,0,0,0
911,0,1,0
912,0,1,0
913,1,0,0
914,0,0,0
915,0,0,0
916,1,0,0
917,1,1,1
918,0,0,1
919,1,0,0
920,0,0,0
921,0,0,0
922,0,1,1
923,0,0,0
924,1,1,1
925,1,0,0
926,1,0,1
927,1,1,1
928,1,1,1
929,1,1,1
930,0,0,0
931,0,0,0
932,1,1,1
933,1,1,1
934,1,1,1
935,1,1,1
936,1,0,0
937,0,1,1
938,0,0,0
939,0,0,0
940,1,1,1
941,0,0,0
942,1,0,0
943,0,0,0
944,1,1,1
945,0,0,0
946,1,1,1
947,1,0,0
948,1,1,1
949,0,0,0
950,0,1,0
951,1,1,1
952,1,1,0
953,1,1,1
954,1,1,1
955,0,0,0
956,1,1,0
957,0,0,0
958,0,0,1
959,1,1,1
960,1,1,1
961,1,1,1
962,0,0,0
963,0,1,0
964,0,1,1
965,1,1,1
966,0,0,0
967,0,1,0
968,1,1,1
969,1,1,0
970,1,1,1
971,0,0,0
972,1,1,1
973,1,1,1
974,1,1,1
975,1,0,0
976,0,0,0
977,0,0,0
978,1,1,1
979,0,0,0
980,1,0,0
981,1,1,1
982,0,0,0
983,1,1,1
984,1,0,1
985,1,1,1
986,0,0,0
987,1,1,1
988,0,0,0
989,0,0,0
990,0,0,0
991,1,1,1
992,1,1,1
993,0,0,0
994,1,1,0
995,0,0,0
996,0,0,0
997,1,1,1
998,1,1,0
999,0,1,1
1000,1,1,1
1001,0,1,0
1002,1,0,1
1003,0,1,1
1004,0,0,0
1005,0,0,0
1006,1,0,0
1007,0,0,0
1008,1,1,1
1009,1,0,0
1010,0,0,0
1011,1,1,1
1012,0,0,0
1013,1,0,0
1014,0,0,1
1015,0,0,0
1016,0,0,0
1017,1,1,1
1018,1,1,1
1019,1,0,0
1020,0,0,0
1021,1,1,1
1022,0,0,0
1023,0,1,1
1024,0,0,0
1025,1,1,1
1026,0,0,0
1027,0,0,0
1028,1,1,0
1029,1,1,0
1030,0,0,0
1031,0,0,0
1032,1,0,1
1033,1,1,1
1034,0,0,0
1035,1,1,1
1036,0,0,0
1037,0,0,0
1038,0,1,0
1039,1,1,1
1040,1,0,1
1041,0,1,1
1042,0,0,0
1043,0,0,0
1044,1,0,0
1045,0,0,1
1046,1,1,1
1047,0,0,0
1048,1,1,1
1049,1,1,1
1050,1,0,0
1051,1,1,0
1052,0,0,0
1053,0,0,0
1054,0,0,0
1055,1,1,1
1056,0,0,0
1057,0,0,0
1058,0,0,0
1059,0,0,1
1060,0,1,1
1061,1,1,1
1062,0,0,0
1063,0,0,0
1064,0,0,0
1065,0,0,0
1066,0,0,0
1067,1,1,1
1068,1,1,1
1069,1,0,0
1070,1,1,1
1071,1,1,1
1072,1,1,1
1073,0,0,0
1074,1,1,0
1075,1,0,0
1076,1,1,1
1077,1,1,1
1078,0,0,0
1079,1,1,1
1080,0,0,0
1081,1,0,0
1082,0,0,0
1083,1,1,0
1084,0,0,0
1085,0,1,0
1086,1,1,1
1087,1,0,0
1088,0,0,0
1089,1,1,1
1090,0,0,0
1091,0,0,0
1092,0,1,1
1093,0,0,0
1094,0,0,0
1095,1,1,1
1096,1,1,1
1097,1,1,1
1098,1,0,0
1099,1,1,1
1100,0,0,0
1101,0,0,0
1102,0,1,0
1103,0,0,1
1104,0,1,0
1105,0,1,1
1106,0,1,0
1107,0,1,0
1108,0,0,0
1109,1,1,1
1110,0,0,0
1111,0,0,0
1112,0,0,0
1113,1,0,0
1114,1,1,1
1115,1,1,1
1116,1,1,1
1117,0,0,0
1118,1,1,1
1119,0,1,1
1120,1,1,1
1121,1,0,0
1122,1,0,0
1123,1,1,1
1124,0,0,0
1125,1,0,0
1126,0,0,0
1127,0,0,0
1128,0,1,1
1129,1,1,0
1130,0,0,0
1131,1,1,1
1132,0,0,0
1133,0,0,0
1134,0,0,0
1135,0,1,0
1136,0,0,0
1137,0,1,1
1138,1,0,0
1139,0,0,0
1140,1,0,1
1141,0,0,0
1142,1,0,0
1143,0,0,0
1144,0,0,0
1145,1,1,1
1146,0,1,0
1147,1,0,0
1148,0,0,0
1149,1,1,1
1150,0,1,1
1151,1,1,0
1152,1,1,1
1153,0,1,1
1154,1,1,1
1155,0,0,0
1156,1,0,0
1157,1,1,1
1158,0,0,0
1159,1,1,0
1160,0,0,0
1161,0,0,0
1162,0,0,0
1163,1,1,1
1164,1,0,1
1165,0,1,1
1166,1,1,0
1167,1,1,1
1168,0,0,0
1169,1,1,1
1170,0,0,0
1171,0,0,0
1172,0,0,0
1173,1,1,0
1174,0,0,0
1175,0,0,0
1176,1,1,1
1177,0,0,0
1178,1,1,1
1179,1,1,1
1180,0,1,0
1181,1,1,1
1182,0,0,0
1183,0,0,0
1184,0,0,1
1185,0,0,0
1186,0,0,0
1187,1,1,1
1188,0,1,0
1189,0,0,0
1190,0,0,0
1191,1,0,0
1192,1,1,1
1193,1,1,1
1194,0,0,1
1195,1,1,1
1196,0,0,0
1197,0,0,0
1198,0,1,1
1199,0,0,0
1200,1,1,1
1201,0,0,0
1202,1,1,1
1203,0,0,0
1204,0,1,0
1205,1,1,1
1206,0,0,0
1207,1,0,1
1208,0,0,0
1209,0,1,0
1210,0,1,1
1211,1,1,1
1212,0,1,0
1213,0,0,0
1214,1,1,0
1215,0,0,0
1216,0,1,0
1217,1,0,0
1218,0,0,0
1219,1,1,1
1220,0,0,0
1221,1,0,0
1222,0,0,0
1223,1,1,0
1224,0,1,0
1225,0,0,0
1226,0,0,0
1227,0,0,0
1228,0,0,0
1229,0,0,0
1230,0,0,0
1231,0,0,0
1232,1,1,1
1233,1,0,0
1234,0,0,0
1235,0,0,0
1236,0,0,0
1237,1,0,1
1238,0,0,1
1239,1,1,0
1240,1,1,1
1241,0,0,0
1242,0,1,0
1243,0,1,0
1244,0,0,0
1245,0,0,0
1246,1,1,1
1247,0,0,0
1248,1,1,1
1249,1,0,0
1250,0,1,0
1251,0,1,0
1252,0,0,0
1253,0,1,0
1254,1,0,0
1255,1,1,1
1256,0,0,0
1257,0,0,0
1258,0,1,1
1259,0,0,0
1260,0,1,1
1261,0,0,0
1262,1,1,1
1263,1,1,0
1264,1,1,0
1265,0,1,1
1266,0,0,0
1267,0,0,0
1268,0,1,0
1269,0,1,1
1270,0,0,0
1271,1,1,1
1272,0,0,0
1273,0,1,1
1274,0,0,0
1275,1,1,0
1276,0,0,0
1277,0,0,0
1278,1,1,0
1279,1,0,0
1280,0,0,0
1281,1,1,1
1282,0,1,0
1283,1,1,1
1284,0,1,1
1285,0,0,0
1286,1,0,0
1287,0,0,0
1288,0,1,1
1289,0,0,0
1290,1,0,0
1291,0,1,1
1292,1,0,1
1293,0,0,0
1294,1,1,0
1295,1,1,1
1296,1,1,1
1297,0,0,0
1298,1,1,1
1299,1,1,1
1300,0,0,0
1301,0,0,0
1302,1,0,0
1303,0,1,1
1304,1,1,0
1305,0,0,0
1306,1,0,0
1307,0,0,0
1308,1,0,1
1309,0,0,0
1310,1,1,1
1311,1,1,1
1312,0,0,0
1313,0,0,0
1314,1,0,0
1315,1,1,1
1316,0,0,0
1317,0,0,0
1318,1,1,1
1319,1,0,0
1320,1,1,1
1321,1,1,1
1322,0,1,1
1323,1,1,0
1324,0,1,0
1325,0,1,1
1326,0,0,0
1327,0,0,0
1328,1,1,0
1329,0,0,1
1330,0,0,0
1331,1,1,1
1332,1,1,1
1333,1,1,1
1334,0,0,0
1335,0,0,1
1336,0,0,0
1337,0,0,0
1338,0,0,1
1339,1,0,1
1340,1,1,1
1341,0,0,0
1342,1,1,1
1343,1,0,0
1344,0,0,0
1345,1,0,0
1346,1,0,0
1347,0,0,0
1348,0,0,0
1349,0,0,0
1350,1,0,0
1351,1,0,0
1352,0,0,0
1353,1,0,0
1354,0,0,0
1355,0,1,0
1356,1,1,1
1357,1,1,1
1358,0,0,0
1359,0,0,0
1360,0,0,0
1361,1,1,1
1362,1,1,0
1363,1,1,0
1364,0,0,1
1365,0,1,0
1366,1,0,0
1367,0,0,0
1368,0,1,1
1369,1,0,0
1370,1,0,0
1371,0,0,0
1372,1,1,1
1373,0,0,0
1374,0,0,0
1375,0,0,0
1376,1,1,1
1377,1,1,1
1378,1,0,1
1379,0,0,0
1380,0,0,0
1381,0,0,0
1382,0,1,0
1383,0,0,1
1384,1,0,0
1385,0,0,1
1386,1,1,1
1387,0,0,0
1388,1,1,0
1389,1,1,1
1390,0,0,0
1391,0,0,0
1392,1,1,0
1393,1,1,1
1394,0,0,0
1395,0,0,0
1396,0,0,0
1397,1,1,1
1398,0,0,0
1399,1,1,1
1400,0,0,0
1401,0,1,0
1402,0,1,0
1403,1,1,1
1404,1,0,0
1405,0,0,0
1406,0,0,0
1407,1,0,0
1408,0,0,0
1409,0,0,0
1410,1,1,1
1411,0,0,1
1412,0,1,0
1413,0,1,1
1414,0,0,0
1415,1,0,1
1416,1,1,0
1417,1,0,0
1418,0,0,0
1419,0,0,0
1420,1,1,1
1421,0,1,0
1422,0,0,0
1423,0,1,0
1424,1,0,0
1425,1,0,1
1426,1,1,1
1427,0,1,0
1428,1,1,1
1429,1,1,1
1430,1,1,1
1431,0,1,0
1432,0,1,1
1433,1,0,0
1434,1,0,0
1435,1,0,0
1436,0,0,0
1437,0,0,0
1438,1,1,1
1439,1,1,1
1440,0,0,0
1441,1,0,0
1442,1,0,0
1443,1,1,1
1444,0,1,0
1445,0,0,0
1446,1,1,1
1447,1,1,0
1448,1,0,0
1449,0,0,0
1450,0,0,0
1451,1,1,1
1452,0,0,0
1453,1,1,0
1454,1,1,1
1455,0,0,0
1456,1,1,0
1457,1,1,1
1458,1,1,1
1459,1,1,1
1460,0,0,0
1461,0,0,0
1462,1,1,1
1463,0,0,0
1464,0,1,1
1465,1,1,1
1466,0,0,0
1467,0,1,1
1468,0,0,0
1469,0,0,0
1470,1,1,1
1471,0,0,0
1472,0,0,0
1473,0,0,0
1474,1,1,1
1475,0,1,1
1476,1,1,1
1477,0,0,0
1478,0,0,0
1479,1,1,1
1480,0,0,0
1481,0,0,0
1482,0,0,0
1483,1,1,1
1484,1,1,1
1485,0,1,0
1486,0,0,1
1487,1,1,0
1488,0,0,0
1489,1,0,0
1490,0,1,1
1491,1,1,1
1492,1,1,1
1493,0,0,0
1494,1,1,0
1495,1,1,1
1496,0,1,0
1497,0,0,0
1498,1,1,0
1499,0,0,0
1500,0,1,0
1501,1,0,0
1502,1,1,1
1503,0,1,0
1504,1,1,0
1505,0,1,1
1506,1,0,0
1507,0,1,1
1508,1,1,1
1509,1,1,1
1510,1,1,1
1511,0,0,0
1512,1,0,0
1513,0,0,0
1514,1,1,1
1515,0,0,0
1516,0,1,0
1517,0,1,1
1518,0,0,0
1519,1,1,1
1520,1,1,1
1521,0,1,0
1522,0,0,0
1523,1,1,1
1524,1,0,0
1525,1,1,1
1526,0,0,0
1527,0,0,1
1528,0,0,0
1529,1,1,1
1530,1,1,0
1531,0,0,0
1532,1,1,1
1533,1,1,1
1534,0,0,0
1535,0,0,0
1536,1,1,1
1537,1,1,1
1538,0,1,0
1539,1,0,0
1540,0,0,0
1541,1,0,0
1542,1,1,1
1543,1,1,1
1544,1,1,0
1545,1,1,1
1546,1,1,1
1547,1,0,1
1548,0,1,0
1549,1,1,1
1550,1,0,1
1551,0,1,1
1552,1,0,1
1553,0,0,0
1554,1,0,0
1555,1,1,1
1556,1,1,1
1557,1,0,0
1558,0,0,0
1559,1,0,0
1560,0,1,0
1561,0,0,0
1562,0,0,0
1563,0,0,1
1564,0,1,1
1565,1,0,0
1566,1,1,0
1567,0,1,1
1568,0,1,1
1569,1,1,0
1570,0,0,0
1571,1,1,0
1572,0,0,0
1573,1,1,1
1574,1,1,1
1575,1,1,0
1576,1,1,1
1577,1,1,1
1578,1,0,0
1579,0,1,0
1580,1,0,0
1581,1,1,1
1582,1,1,1
1583,1,1,0
1584,0,1,1
1585,0,0,0
1586,0,0,0
1587,1,1,1
1588,1,0,0
1589,1,1,1
1590,1,1,1
1591,1,1,1
1592,0,0,0
1593,1,0,0
1594,0,0,0
1595,0,0,0
1596,1,1,1
1597,0,0,0
1598,0,0,0
1599,0,0,0
1600,0,1,0
1601,0,1,1
1602,1,0,0
1603,1,1,1
1604,1,1,1
1605,1,1,0
1606,1,1,1
1607,0,0,0
1608,0,0,0
1609,1,1,1
1610,1,1,0
1611,0,1,1
1612,0,1,1
1613,1,1,1
1614,0,1,1
1615,0,0,0
1616,1,0,0
1617,0,1,1
1618,0,1,1
1619,1,1,0
1620,1,0,0
1621,0,0,0
1622,0,1,1
1623,1,1,1
1624,1,0,1
1625,1,1,1
1626,1,0,1
1627,0,0,0
1628,1,1,1
1629,1,0,1
1630,0,0,0
1631,0,1,0
1632,0,1,1
1633,0,0,0
1634,1,1,1
1635,0,0,0
1636,1,1,1
1637,0,1,0
1638,0,0,0
1639,0,0,0
1640,0,1,0
1641,0,0,0
1642,1,1,1
1643,1,1,1
1644,0,0,0
1645,0,0,0
1646,0,0,0
1647,1,1,1
1648,1,1,1
1649,0,0,0
1650,0,0,0
1651,0,0,0
1652,1,1,1
1653,0,0,1
1654,0,0,0
1655,1,1,1
1656,1,1,1
1657,1,1,0
1658,0,0,0
1659,1,1,1
1660,1,1,1
1661,0,0,0
1662,1,1,1
1663,1,1,1
